"","cov.name","cov.number","cov.percentage","cov.na"
"1","sex","336","36.7614879649891","0"
"2","smoke","96","10.5032822757112","0"
"3","cvd","79","8.64332603938731","0"
"4","chd","28","3.06345733041575","0"
